Rótulos de Linha;Soma de Valor de receita
ACIR MARCOS GURGACZ;2935489,15
AFRÂNIO TADEU BOPPRÉ;452886,48
AIRTO JOAO FERRONATO;4200
AIRTON COSTA SANTOS;106468,27
ALAN RICK MIRANDA;2835539,64
ALBETIZA MOREIRA DE ARAÚJO;3000
ALESSANDRO LUCCIOLA MOLON;4335291,25
ALEXANDRE BALDY DE SANT ANNA BRAGA;4132536,62
ALEXANDRE SILVEIRA DE OLIVEIRA;4677290,2
ALEXANDRE SOARES DE MELO;139422,93
ALFREDO ALEXANDRE DE MENEZES JUNIOR;1177822,57
ALINE SLEUTJES;874649,13
ALTAMIRO ALVES DA SILVA;208431,57
ALVARO FERNANDES DIAS;5082334
ANA AMÉLIA DE LEMOS;4440000
ANDRÉ CARLOS ALVES DE PAULA FILHO;3377432
ANDRÉ LUIZ CECILIANO;3651736,66
ANDRE RIBEIRO BARBOSA;642612,46
ANDREA BRANCO SCHMIDT;1015
ANIZIO LEITE TOCCHIO JUNIOR;139422,93
ANTONIO BUNGENSTAB DE LIMA;57898,5
ANTÔNIO CARLOS DA PAIXÃO;3000
ANTÔNIO CARLOS SILVA;11974,36
ANTONIO CARLOS VALADARES FILHO;2433897,01
ANTONIO GALVAN;1942183,58
ANTONIO HAMILTON MARTINS MOURÃO;4253757,43
ANTONIO HERMANO LEMME;11974,36
ANTONIO JOSÉ FONTINELE DA SILVA;300000
ARTHUR VIRGILIO DO CARMO RIBEIRO NETO;3851887
ATAIDES DE OLIVEIRA;305000
BÁRBARA DEL PENHO SINEDINO PINHEIRO;15542
BARTOLMEU DA SILVA TOMAZ;303733,74
BENEVENUTO DACIOLO FONSECA DOS SANTOS;750000
BRUNO FIGUEIREDO ROBERTO;1020000
BRUNO MARTUCHELE DE SALES;1217853,12
CAMILO SOBREIRA DE SANTANA;4490000
CARLOS ANTONIO GOMES DE ANDRADE LIMA;3785000
CARLOS DIVINO VIEIRA RODRIGUES;1670928,66
CARLOS EDUARDO NUNES ALVES;2619504,08
CARLOS EDUARDO SABOIA GOMES;1000
CARLOS ENRIQUE FRANCO AMASTHA;2771500
CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO;4205000
CAROLINE SANT ANNA;3000
CELSO MALDANER;2677500
CICERO RIBEIRO DE ARAUJO;3000
CLAAUDEMIR LOPES;4176,6
CLARIKENNEDY NUNES;270000
CLARISSA GAROTINHO BARROS ASSED MATHEUS DE OLIVEIRA;3546000
CLEITON GONTIJO DE AZEVEDO;709159,09
CLEUSA ROSANE RIBAS FERREIRA;381897,4
DAMARES REGINA ALVES;3944025
DANIEL LUCIO DA SILVEIRA;94250
DANIELLE GARCIA ALVES;2413794,8
DÁRIO BARBOSA DE MELO;19500
DARIO ELIAS BERGER;2255832,95
DAVID CABRAL DAVINO FILHO;3647129,6
DAVID SAMUEL ALCOLUMBRE TOBELEM;3580086,65
DAYSE JOYCE RODRIGUES DE MEDEIROS;18344
DENISE APARECIDA CARVALHO;198100
DIMAS DA SILVA SANDAS;1950
DIRLAINE JAQUELINE CASSOL;3551598,39
EDSON APARECIDO DOS SANTOS;7380982
EDUARDO ALVES DO AMORIM;2163630
EFRAIM DE ARAÚJO MORAIS FILHO;3885013,67
ELCIMARA AUGUSTO DE SOUZA;8320
ELIELTON REGO LIRA;17000
ELISSANDRO AMORIM BESSA;74800
ENEIDA DESIREE SALGADO;1544770
ERICK CABRAL MUSSO;3553000
ERIKA GONÇALVES AMORIM;4400000
ESTEVES JACINTO BRAZ;9852,95
EXPEDITO CARNEIRO DE MENDONÇA;12090,91
EXPEDITO GONÇALVES FERREIRA JUNIOR;2981808
FABIANA DA SILVA SANGUINÉ;22240
FELICIANO LHANOS AZUAGA;35532,27
FERNANDO DE SOUZA FLEXA RIBEIRO;1671573
FILIPE SIQUEIRA FERMINO;15570
FLÁVIA CAROLINA PÉRES;3780010
FLÁVIO DINO DE CASTRO E COSTA;4541000
FRANCISCO CARLOS ALVES DA SILVA;15196,58
FRANCISCO FRANKE SETTINERI;3000
FRANCISCO RAIMUNDO DE FREITAS;171622,93
GEORGE MÁGNO CARVALHO CARDOSO;139422,93
GERALDO SOUZA PINHO ALVES;73855,33
GILBERTO BATISTA CAMPOS;302080,64
GILBERTO LAURINDO;150203
GILMAR SALGADO DOS SANTOS;8100
GILSON MACHADO GUIMARÃES NETO;2444792
GUARACY BATISTA DA SILVEIRA JUNIOR;795200
GUILHERME CRUZ DE SOUZA COELHO;3142680,55
HELDER GIRÃO BARRETO;315400
HÉLIO JOSÉ DA SILVA LIMA;6500
HELVIO COSTA DE OLIVEIRA TELLES;83813
HEMANUELLE DI LARA SIQUEIRA JACOB;143422,93
HENRI CLAY SANTOS ANDRADE;524886,48
HERALDO EDER GOES;3800
HILDA CAROLINA DEOLA;500000
HIRAN MANUEL GONÇALVES DA SILVA;3313612,43
HIRAN ROEDEL;3794
IDALECIO CARONE FILHO;12100
ILDERSON PEREIRA SILVA;152000
IRAN DE OLIVEIRA MARINHO;510250
IRANI DA SILVA GOMES;63876
IVO NOGUEIRA;99041,17
JAIME MAXIMINO BAGATTOLI;3345692,7
JANAINA CONCEICAO PASCHOAL;54772,09
JANILSON LOPES LEITE;1779935
JARDEL LUIS CASTRO GUIMARÃES;56800
JOAO ALBERTO RODRIGUES CAPIBERIBE;2478100
JOÃO CAMPOS DE ARAÚJO;1901742,28
JOÃO CARLOS DA SILVA SANTIAGO SENADOR;13453
JOÃO GERVÁSIO DOS SANTOS NETO;14815
JOÃO HELDER VILELA;605000
JOÃO RAIMUNDO COLOMBO;3338020
JOE CARLO VIANNA VALLE;1863672
JOEL RODRUGUES DA SILVA;4024654,87
JORGE SEIF JUNIOR;3310908,71
JORGE YOSHIAKI YANAI;198060
JOSÉ ALDO REBELO FIGUEIREDO;3379843,01
JOSE GABRIEL DE SOUZA JUNIOR;24957,77
JOSÉ RENAN VASCONCELOS CALHEIROS FILHO;3364400
JOSÉ ROBERTO DE FREITAS CAVALCANTE;140422,93
JOSÉ ROBERTO OLIVEIRA FARO;3487470,53
JOSÉ SILVESTRE DE MOURA;2300
JOSE WELLINGTON BARROSO DE ARAUJO DIAS;2755065,97
JOZINELIO MUNIZ DE OLIVEIRA;1050
JOZINEY ALVES AMORIM;1724494,65
JULIO CESAR LUGATO;85794,18
KAMILA CARDOSO DE SOUZA RIBEIRO;1165676,99
KÁSSIO EDUARDO DA SILVA COELHO;375000
KATIA REGINA DE ABREU GOMES;3588952,94
LAERCIO JOSE DE OLIVEIRA;3071353,87
LAERSON VIDAL MATIAS;144750,17
LAZARA MERLEY DE CASTRO TEIXEIRA;81206,14
LEONARDO CAIRO RIZZO;584892,7
LUIZ BARBOZA NETO;201616
LUIZ CARLOS PRATES;127155
LUIZ CASTRO ANDRADE NETO;1955236,92
LUIZ HENRIQUE MANDETTA;3160302,77
MAGNO PEREIRA MALTA;2618962
MANOEL CARLOS ANTUNES;2603000
MANOEL MESSIAS DE PONTES;3000
MARCELO ABRUNHOSA HIPÓLITO;526000
MARCELO BEZERRA GUERREIRO;2400
MARCELO CLAUDIO GOMES;22000
MARCELO GUILHERME DE ARO FERREIRA;5033976,47
MARCELO SIQUEIRA BARRETO;300000
MARCELO ZATURANSKY NOGUEIRA ITAGIBA;39100
MARCIA ESPINOSA BITTAR;2107527,25
MARCIO ANTONIO SABBÁ CORRÊA;38202,5
MÁRCIO LUIZ FRANÇA GOMES;6533467,67
MARCO ANTONIO AZKOUL;101497,33
MARCO ANTONIO SOUZA RIBEIRO DA COSTA;21186
MARCONI FERREIRA PERILLO JUNIOR;4659381
MARCOS ANTONIO RIBEIRO;21527
MARCOS CESAR PONTES;4837322,8
MARIA ANTONIA TEIXEIRA DIAS;160422,93
MARIA AUXILIADORA SEABRA REZENDE;3375382,1
MARIA DE NAZARETH MELLO DE ARAUJO LAMBERT;3228233,18
MARIA DIRLENE TRINDADE MARQUES;8235
MARIA EUGENIA WANDERLEY LIMA;368883,74
MARIA LUCIA SOARES VIANA;147942,93
MARIA TERESA LEITÃO DE MELO;4477220
MARIANA FONSECA RIBEIRO CARVALHO DE MORAES;2810300
MARILIA FREIRE DA SILVA;146022,93
MARINALDO DE SOUSA SILVA;3000
MARIO AGRA JÚNIOR;191472,93
MARIO COUTO FILHO;1045301
MARISTELA ZANOTTO;184384,9
MAURICIO COSTA DA SILVA;165000
MAURO CARLESSE;1000000
MOACIR DOMINGOS LOTTI;13000
NÁDIA RODRIGUES SILVEIRA GERHARD;4001850
NAOMI DE ALMEIDA GOMES COURA;12090,91
NELSON PINTO FERREIRA NETO JUNIOR;7010
NERI GELLER;4068969,56
ODILON DE OLIVEIRA;2849500
OLÍVIO DE OLIVEIRA DUTRA;2471970,32
OMAR JOSÉ ABDEL AZIZ;3687602,63
ORLANDO PESSUTI;1727521,11
OTTO ROBERTO MENDONÇA DE ALENCAR;3960000
OZEAS COSTA COLARES JUNIOR;58001
PAULO EDUARDO LIMA MARTINS;3667146
PAULO ROBERTO DA ROSA;21073,53
PAULO RUBENS BARBOSA FRANÇA;200
PEDRO IVO DE SOUZA BATISTA;598120,9
RAFAEL HUTE DA MOTTA;2082882
RAISSA OLIVEIRA AZEVEDO DE MELO SOARES;2512534
RAUL BITTENCOURT PEDREIRA;6242,91
RAYSSA CADENA FURLAN;2234936,3
RENATA ABREU DO NASCIMENTO FONSECA;40000
RICARDO LUIS MELLÃO;396409,08
RICARDO VIEIRA COUTINHO;537696,93
ROBERTA RITA CAVALCANTI PEREIRA;3000
ROBERTO COELHO ROCHA;653734
ROBERTO FRANÇA DA SILVA JUNIOR;12090,91
ROGÉRIO SIMONETTI MARINHO;3821382
ROMÁRIO DE SOUZA FARIA;5092352
ROMERO JUCÁ FILHO;3099000
RONALDO TEIXEIRA DA SILVA;306152
ROSANGELA LÁZARO DE OLIVEIRA;2800
ROSILDA DE FREITAS;3949000
ROSILENE CORRÊA LIMA;2596388,09
SANDERSON SILVA DE MOURA;307593,74
SANDRA FIGUEIREDO;127128
SARA RAYANNE SILVA AZEVEDO;506912,46
SAULO COSTA ARCANGELI;18000
SERGIO AUGUSTO DE QUEIROZ;343143,45
SERGIO FERNANDO MORO;5266811,26
SHIRLEI BARROS DE MEDEIROS;84594,18
SUED HAIDAR NOGUEIRA;815586,8
SUELI PEREIRA PINI;2000
